                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0364,                 4.0465,                 4.2286,                0.00467,                0.58158,                0.01795,                0.00476,                 2.6458,                 4.1146,                 4.1541,             0.00020006,             0.00020006,             0.00020006
                      1,                  3.025,                 3.9756,                 4.1425,                0.00448,                 0.5881,                0.01802,                0.00534,                 2.6338,                 4.1154,                 4.1365,             0.00031184,             0.00031184,             0.00031184
                      2,                 2.9519,                 3.8969,                 4.0814,                 0.0038,                0.56072,                0.02549,                0.01057,                 2.6085,                 4.1084,                 4.0971,             0.00031752,             0.00031752,             0.00031752
                      3,                 2.9384,                 3.6317,                 3.9518,                0.00385,                0.56849,                0.01291,                 0.0038,                 2.6018,                 4.0986,                 4.0846,              0.0002171,              0.0002171,              0.0002171
