                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0364,                 4.0465,                 4.2286,                0.00467,                0.58158,                0.01795,                0.00476,                 2.6458,                 4.1146,                 4.1541,             0.00020006,             0.00020006,             0.00020006
                      1,                 3.0216,                 3.9668,                  4.137,                0.00397,                0.57955,                0.01913,                0.00607,                 2.6318,                 4.1139,                 4.1329,              0.0004062,              0.0004062,              0.0004062
                      2,                 2.9371,                  3.824,                 4.0206,                0.00385,                0.57128,                0.02541,                0.00827,                 2.5924,                 4.1048,                 4.0711,             0.00060386,             0.00060386,             0.00060386
                      3,                  2.896,                   3.48,                 3.7973,                0.00394,                0.57417,                0.01145,                0.00331,                 2.5949,                 4.0794,                 4.0657,             0.00079303,             0.00079303,             0.00079303
                      4,                 2.8138,                 3.3598,                 3.6278,                0.00409,                 0.6284,                0.02497,                0.00827,                 2.5396,                 4.0585,                  3.728,             0.00097371,             0.00097371,             0.00097371
                      5,                 2.7559,                 3.2947,                 3.4892,                0.70124,                0.05013,                0.03799,                0.01332,                 2.5353,                 4.6084,                  3.398,              0.0011459,              0.0011459,              0.0011459
                      6,                 2.6154,                 3.1965,                 3.3604,                0.71937,                0.10843,                0.04712,                0.01394,                 2.7093,                 4.0486,                 3.9371,              0.0012592,              0.0012592,              0.0012592
                      7,                  2.642,                 3.1654,                  3.329,                0.00425,                0.34137,                0.01002,                0.00294,                 2.8293,                 4.4936,                 4.3691,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.5592,                 3.0448,                 3.1984,                0.72386,                0.05769,                0.02895,                0.01003,                 2.6529,                 4.2213,                 4.0225,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.5649,                 3.0303,                 3.1621,                0.09096,                0.09273,                0.05079,                0.02012,                  2.324,                  3.844,                 3.3315,              0.0012026,              0.0012026,              0.0012026
                     10,                 2.4494,                 3.0427,                 3.0594,                0.40051,                 0.1796,                0.05103,                0.01897,                 2.4046,                 4.4911,                 3.3199,              0.0011744,              0.0011744,              0.0011744
                     11,                 2.3932,                 2.9341,                 2.9911,                0.13555,                0.26537,                0.10243,                0.03967,                 2.2774,                  3.468,                 3.0585,              0.0011461,              0.0011461,              0.0011461
                     12,                 2.3596,                 2.8735,                 2.9182,                0.26753,                0.21851,                0.11454,                 0.0434,                   2.31,                 3.3684,                 3.0266,              0.0011178,              0.0011178,              0.0011178
                     13,                 2.2442,                 2.7938,                 2.8588,                0.19602,                0.29626,                0.18538,                0.08198,                 2.0711,                 3.1549,                 2.8299,              0.0010895,              0.0010895,              0.0010895
                     14,                 2.3104,                 2.9171,                 2.8584,                0.09374,                0.10897,                0.08045,                0.03088,                  2.083,                 3.2959,                 3.1164,              0.0010612,              0.0010612,              0.0010612
                     15,                 2.2549,                 2.8499,                 2.7929,                0.26747,                0.20564,                0.14606,                0.05916,                 1.9996,                 3.3175,                 2.7708,              0.0010329,              0.0010329,              0.0010329
                     16,                 2.2199,                 2.7718,                 2.7683,                0.31936,                0.38236,                0.30347,                0.13441,                 1.9886,                  3.199,                  2.651,              0.0010046,              0.0010046,              0.0010046
                     17,                 2.2168,                 2.7747,                 2.7174,                0.40327,                0.35242,                0.34939,                 0.1643,                 1.9525,                 2.8051,                  2.589,             0.00097629,             0.00097629,             0.00097629
                     18,                 2.1792,                 2.7139,                 2.7045,                0.36061,                0.43019,                 0.3479,                0.15281,                 1.8899,                 2.9701,                 2.5362,               0.000948,               0.000948,               0.000948
                     19,                 2.1201,                 2.6041,                 2.6442,                0.42148,                0.38215,                0.35886,                0.17833,                 1.8555,                 2.7657,                 2.4999,              0.0009197,              0.0009197,              0.0009197
                     20,                 2.0289,                 2.5629,                 2.5755,                  0.447,                0.35401,                0.38082,                0.19468,                 1.8583,                 2.7508,                 2.4559,             0.00089141,             0.00089141,             0.00089141
                     21,                 2.0601,                 2.5415,                 2.5632,                0.32249,                0.52545,                0.40008,                0.20155,                 1.7702,                 2.6172,                 2.4252,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.9691,                 2.4623,                  2.506,                0.36897,                0.47112,                0.40333,                0.20593,                 1.8046,                 2.5355,                 2.4649,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.9492,                  2.364,                 2.4616,                0.51013,                0.47432,                0.43431,                 0.2347,                 1.7619,                 2.4978,                 2.4007,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.9049,                 2.3829,                   2.43,                0.51057,                0.44495,                0.45232,                0.23711,                 1.7456,                 2.3699,                 2.3938,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.8891,                 2.3604,                 2.4401,                0.51623,                0.41309,                0.45538,                0.23657,                 1.7472,                 2.4619,                 2.3573,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.9473,                 2.3862,                 2.4771,                0.41076,                0.40076,                0.37142,                0.17546,                 1.8191,                 2.7079,                 2.3905,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.9151,                  2.375,                  2.451,                0.38738,                0.46703,                0.40419,                0.19145,                 1.7766,                 3.2981,                 2.3357,             0.00069335,             0.00069335,             0.00069335
                     28,                  1.856,                 2.2743,                 2.3389,                0.44429,                0.47758,                0.42559,                0.22262,                 1.6537,                 2.6218,                 2.2321,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.8084,                 2.2404,                 2.3043,                0.43598,                0.46872,                0.43171,                0.22983,                 1.6805,                  2.395,                 2.2617,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.7767,                 2.1295,                 2.2643,                0.53705,                0.47062,                0.49043,                0.26999,                 1.6078,                 2.1577,                 2.2395,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.8111,                 2.1441,                 2.2866,                0.58239,                0.43636,                0.49943,                0.28259,                 1.6081,                 2.2165,                 2.2117,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.7198,                 2.1571,                  2.234,                0.53296,                0.56673,                0.54523,                0.31466,                 1.5107,                 2.0696,                 2.1279,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.7454,                 2.1337,                 2.2346,                0.62635,                0.51521,                0.55653,                0.31592,                 1.5128,                 2.0302,                 2.1356,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.7445,                 2.1249,                 2.2356,                0.53919,                0.53965,                0.56583,                0.33565,                 1.4643,                 2.0033,                 2.1007,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.6689,                 2.0414,                 2.2012,                0.56497,                0.55057,                0.56108,                0.34006,                 1.4599,                 1.9848,                 2.0899,               0.000467,               0.000467,               0.000467
                     36,                 1.6711,                 1.9855,                 2.1729,                0.62784,                0.54147,                0.58242,                0.35262,                 1.4434,                 1.9965,                 2.0448,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.6608,                 2.0041,                 2.1729,                0.56805,                0.56937,                0.57528,                0.34068,                 1.5083,                  1.942,                 2.1549,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.6477,                 1.9807,                 2.1539,                0.58895,                0.57552,                0.55932,                0.32925,                 1.4911,                 1.9751,                 2.1141,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.6604,                 1.9405,                 2.1245,                0.63244,                0.60245,                0.60356,                0.37073,                 1.4666,                 1.8051,                 2.0542,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.6506,                 1.9834,                 2.1707,                0.66669,                0.55873,                0.62235,                0.37731,                 1.4937,                  1.832,                  2.078,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.6416,                 1.9849,                 2.1706,                0.62956,                 0.5657,                0.61269,                0.38558,                 1.4488,                 1.7455,                 2.0351,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.6339,                 1.9645,                 2.1488,                0.69649,                0.58605,                0.63734,                0.40449,                 1.3855,                 1.6862,                 1.9911,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.5906,                 1.8437,                 2.0999,                0.63445,                0.61205,                0.63347,                 0.4021,                 1.4043,                 1.7396,                 2.0356,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.5884,                 1.9037,                 2.1092,                0.63355,                0.58845,                0.62089,                0.39514,                 1.4127,                 1.7361,                  2.023,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.5803,                 1.8321,                 2.0741,                 0.6476,                0.57033,                0.60349,                0.39492,                 1.3757,                  1.704,                 1.9829,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.5737,                 1.8661,                 2.0653,                0.67769,                0.59618,                0.63098,                0.41007,                 1.3471,                 1.6672,                  1.944,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.5678,                 1.8504,                  2.081,                0.66563,                0.64135,                0.65691,                0.42933,                 1.3518,                 1.6317,                 1.9517,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.5288,                 1.8152,                 2.0332,                 0.6544,                0.63844,                0.66096,                0.43321,                 1.3396,                 1.6301,                 1.9584,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.5411,                  1.839,                 2.0508,                0.66822,                0.64114,                0.65867,                0.43124,                 1.3397,                 1.6314,                  1.966,             7.0878e-05,             7.0878e-05,             7.0878e-05
