                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5761,                 1.6235,                 2.0025,                0.61751,                0.57218,                0.58477,                 0.3215,                 1.4804,                 1.5637,                 2.0048,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.5233,                 1.5943,                  1.952,                0.61964,                0.57148,                0.63174,                0.38914,                 1.3898,                 1.4241,                 1.9145,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.5444,                 1.5319,                 1.9682,                0.65332,                0.60289,                0.65108,                0.38864,                 1.4241,                 1.3945,                 1.9072,              0.0010753,              0.0010753,              0.0010753
                     27,                  1.524,                 1.5487,                 1.9401,                0.60572,                0.60348,                0.62962,                0.36442,                 1.3878,                  1.631,                 1.8959,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.4872,                 1.5566,                 1.9421,                0.66899,                0.60138,                0.62209,                0.39039,                 1.3296,                 1.3691,                 1.8492,               0.001047,               0.001047,               0.001047
                     29,                   1.48,                 1.5011,                 1.9019,                0.64078,                0.62192,                0.64826,                0.40288,                 1.3718,                 1.3474,                 1.8631,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.4901,                 1.4666,                 1.9068,                0.70007,                0.65707,                0.70098,                0.43058,                 1.3412,                 1.3615,                 1.8305,              0.0010187,              0.0010187,              0.0010187
                     31,                  1.473,                 1.4529,                 1.9006,                 0.5595,                0.58877,                0.58227,                0.35376,                  1.351,                 1.3349,                 1.8465,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.4728,                 1.5042,                 1.8836,                0.72501,                0.64165,                0.69339,                0.42336,                 1.3753,                 1.2936,                 1.8714,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.4513,                  1.451,                 1.8743,                0.66616,                0.62584,                0.69083,                0.43407,                 1.3548,                 1.3156,                 1.8306,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.4639,                 1.4612,                 1.8902,                0.66733,                0.66709,                0.67212,                0.42063,                 1.3549,                  1.316,                 1.8521,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.4876,                 1.4697,                 1.9082,                0.61358,                0.62499,                0.66982,                 0.4293,                 1.3014,                 1.3201,                 1.7773,               0.000948,               0.000948,               0.000948
                     36,                 1.4709,                  1.419,                 1.8703,                0.66659,                0.66157,                0.70465,                0.45003,                  1.316,                 1.2697,                 1.7775,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.4383,                 1.3792,                 1.8604,                0.69398,                0.66776,                0.72895,                0.45641,                 1.2727,                 1.2811,                 1.7601,              0.0009197,              0.0009197,              0.0009197
                     38,                   1.41,                 1.3607,                 1.8139,                0.68103,                 0.6276,                0.69471,                0.42988,                  1.315,                 1.2554,                 1.7815,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.3942,                 1.3379,                 1.8186,                0.75111,                0.68278,                0.73286,                0.47769,                  1.252,                  1.081,                 1.7195,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.4237,                 1.3154,                 1.8122,                0.74476,                0.67202,                0.74904,                0.50532,                 1.2265,                 1.0847,                 1.6895,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.3659,                 1.2951,                 1.7815,                 0.7769,                0.66783,                   0.76,                0.49989,                 1.2599,                 1.0618,                 1.7223,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.3662,                 1.2791,                 1.7898,                0.70514,                 0.6875,                0.75744,                0.51156,                 1.1896,                 1.0989,                 1.6511,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.3555,                 1.2751,                 1.7714,                0.70247,                 0.6967,                0.74585,                0.49886,                 1.2351,                  1.122,                 1.7001,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.3535,                 1.2938,                 1.7865,                0.77752,                 0.6976,                0.76475,                 0.5013,                 1.2376,                 1.0344,                 1.7137,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.3497,                 1.2595,                 1.7644,                0.71489,                0.67505,                0.76078,                0.50253,                 1.2212,                    1.1,                   1.68,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.3447,                 1.2481,                 1.7574,                0.72593,                0.67362,                0.74133,                0.49948,                 1.2047,                 1.0403,                 1.6579,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.3614,                 1.2372,                 1.7591,                0.74843,                0.72053,                0.77172,                0.52187,                 1.1816,                 1.0255,                   1.64,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.3433,                 1.2313,                 1.7636,                0.77582,                0.67087,                0.76994,                0.52616,                 1.1764,                0.96427,                 1.6409,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.3478,                 1.2305,                 1.7605,                0.81866,                 0.6984,                0.79632,                0.54407,                 1.1848,                0.95594,                 1.6651,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3276,                 1.1885,                 1.7393,                0.70453,                0.69989,                0.73527,                0.46846,                 1.2792,                 1.0472,                 1.7311,             0.00073579,             0.00073579,             0.00073579
                     51,                  1.351,                 1.2159,                 1.7482,                0.73307,                  0.725,                0.78094,                 0.5289,                  1.182,                 1.0128,                 1.6403,             0.00072164,             0.00072164,             0.00072164
                     52,                  1.323,                 1.1906,                 1.7414,                0.69575,                0.68365,                0.69945,                0.46372,                 1.1932,                  1.059,                 1.6589,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.3295,                  1.202,                 1.7405,                0.76973,                  0.771,                0.82174,                0.56798,                 1.1412,                0.92716,                  1.607,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.3167,                 1.1862,                 1.7222,                0.72931,                 0.7665,                 0.7976,                0.54773,                 1.1185,                0.96529,                 1.5901,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.2511,                 1.1125,                  1.694,                0.80813,                0.72357,                0.80421,                0.54435,                 1.1724,                0.90572,                 1.6266,             0.00066506,             0.00066506,             0.00066506
                     56,                  1.311,                 1.1301,                 1.7264,                0.77879,                0.73031,                0.80336,                 0.5327,                 1.2443,                0.95039,                 1.6631,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.2976,                  1.135,                 1.7029,                0.72729,                0.79207,                0.79378,                0.54357,                 1.1261,                0.89632,                  1.578,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3019,                 1.1151,                  1.705,                0.79548,                0.77568,                0.82696,                0.57177,                 1.1363,                0.86362,                 1.5874,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.2499,                 1.0734,                 1.6758,                0.77165,                0.77098,                0.82518,                0.58834,                 1.0873,                0.83851,                  1.536,             0.00060847,             0.00060847,             0.00060847
                     60,                  1.275,                 1.1287,                 1.7001,                0.78106,                0.76985,                0.80956,                 0.5437,                 1.1772,                0.88523,                 1.6421,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.2699,                 1.1112,                 1.6847,                 0.7854,                0.77583,                0.83402,                0.58239,                 1.1084,                0.86191,                 1.5636,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.2487,                 1.0713,                 1.6677,                0.77466,                0.80558,                0.83673,                0.58038,                 1.1188,                0.84309,                 1.5693,             0.00056603,             0.00056603,             0.00056603
                     63,                  1.257,                 1.0813,                 1.6644,                0.80388,                0.77815,                0.83645,                0.59541,                 1.0956,                0.82042,                  1.549,             0.00055188,             0.00055188,             0.00055188
                     64,                  1.224,                 1.0514,                 1.6385,                0.79109,                0.80558,                0.84747,                0.59722,                 1.0824,                0.81814,                  1.531,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.2729,                 1.0779,                 1.6757,                0.79759,                0.80599,                0.84149,                0.60271,                  1.072,                0.81829,                 1.5288,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.2453,                 1.0679,                 1.6619,                0.78444,                0.79544,                0.84601,                0.59312,                 1.1121,                0.81078,                 1.5644,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.2159,                 1.0405,                 1.6446,                0.82426,                 0.8087,                0.85664,                0.61907,                 1.0413,                0.76066,                 1.4994,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.1963,                0.98851,                  1.604,                0.83627,                0.77734,                0.85374,                0.60257,                 1.0827,                0.80753,                 1.5259,             0.00048114,             0.00048114,             0.00048114
                     69,                  1.228,                 1.0563,                 1.6427,                0.80206,                0.81627,                0.85947,                0.62282,                 1.0504,                0.76851,                 1.5037,               0.000467,               0.000467,               0.000467
